Probe;Nitrat+Nitrit_ug_l;Nitrat+Nitrit_umol_l;Silikat_ug_l;Silikat_umol_l;Phosphat__ug_l;Phosphat_umol_l;Tag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P6;0,21;0,00;601,48;21,42;8,81;0,09;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994976;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P7;0,12;0,00;595,80;21,21;8,55;0,09;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994977;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P8;3,71;0,06;547,48;19,49;10,51;0,11;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994978;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P9;6,93;0,11;457,31;16,28;8,42;0,09;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772160;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P10;0,50;0,01;476,31;16,96;8,81;0,09;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772161;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P11;1,34;0,02;532,97;18,98;8,55;0,09;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772162;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P12;0,14;0,00;242,38;8,63;9,71;0,10;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772163;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P1;9,95;0,16;445,55;15,86;9,05;0,10;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772164;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P2;8,94;0,14;438,48;15,61;9,36;0,10;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772165;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P3;13,40;0,22;674,06;24,00;9,00;0,09;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772166;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P4;5,86;0,09;656,44;23,37;9,03;0,10;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772167;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P5;7,48;0,12;556,18;19,80;9,27;0,10;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167772168;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
